Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
MXRF11,Papéis,"9,95","10.096.599,95","1,06","0,1","1,04 %","3,13 %","6,29 %","12,92 %","1,04 %","1,05 %","1,08 %","2,09 %","0,84 %","1,89 %","1,99 %","4.316.720.449,78","9,49","1,05","1,05 %","-6,13 %","-5,14 %","0,39 %",3,"768,71",1.423.541,N/A,N/A,"0,90 % a.a"
NAUI11,Outros,"984,02","10.233,80","2,25","115,98","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"22.585.054,27",N/A,N/A,N/A,N/A,N/A,N/A,0,"11.311,05",109,N/A,N/A,N/A
NAVT11,Papéis,"76,82","38.502,80","0,87","1,24","1,68 %","3,83 %","7,14 %","14,25 %","1,28 %","1,19 %","1,19 %","1,68 %","4,32 %","6,08 %","6,08 %","54.543.324,14","90,17","0,85","1,38 %","0,66 %","2,04 %","3,21 %",14,"1.569,46",2.302,N/A,"20,00 % a.a","1,00 % a.a"
NCHB11,Papéis,"7,97","63.111,70","0,82","0,11","1,34 %","4,06 %","7,73 %","15,13 %","1,35 %","1,29 %","1,26 %","4,06 %","11,10 %","12,58 %","10,18 %","148.979.591,77","9,75","0,82","1,02 %","-89,12 %","-89,01 %","-88,60 %",14,"17,09",11.451,N/A,N/A,"1,10 % a.a"
NCRI11,Papéis,"8,9","6.455,35","0,9","0,1","1,11 %","3,28 %","6,85 %","14,76 %","1,09 %","1,14 %","1,23 %","4,42 %","-5,06 %","-4,00 %","14,12 %","39.670.324,26",N/A,N/A,N/A,N/A,N/A,N/A,1,"3.607,59",1.310,N/A,N/A,N/A
NELO11,Logística,N/A,N/A,N/A,"21,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"389.126.037,53",887,N/A,"1,08 %","0,00 %","0,00 %","0,00 %",57,N/A,1,N/A,N/A,N/A
NEWL11,Imóveis Industriais e Logísticos,107,"303.273,15","0,82",1,"0,93 %","2,64 %","5,43 %","11,29 %","0,88 %","0,91 %","0,94 %","3,60 %","-8,59 %","-7,74 %","5,45 %","366.566.931,05","130,44","0,82","0,77 %","8,62 %","9,45 %","24,91 %",3,"1.366,59",8.637,N/A,"20,00 % a.a","0,95 % a.a"
NEWU11,Lajes Corporativas,"105,86","5.787,53","1,15","0,25","0,23 %","1,52 %","1,94 %","2,64 %","0,51 %","0,32 %","0,22 %","1,28 %","1,91 %","2,15 %","2,97 %","68.770.804,59","83,32","1,27","0,30 %","19,70 %","20,05 %","28,66 %",2,"7.581,23",1.060,N/A,N/A,N/A
NEXG11,Agricultura,"131,49","124.121,25","1,29","0,92","0,70 %","2,10 %","4,26 %","9,69 %","0,70 %","0,71 %","0,81 %","2,72 %","2,09 %","2,81 %","4,54 %","123.767.065,68","100,42","1,31","0,92 %","0,00 %","0,00 %","0,00 %",0,"11.087,83",654,"1,00 % a.a","20,00 % a.a","0,16 % a.a"
NSLU11,Hospitalar,"189,05","85.290,30","1,09","1,73","0,83 %","6,07 %","8,58 %","14,88 %","2,02 %","1,43 %","1,24 %","1,46 %","-3,68 %","-2,88 %","-4,22 %","224.385.241,69","191,44","0,99","0,90 %","-3,76 %","-2,89 %","3,04 %",2,"2.367,00",5.145,N/A,N/A,"2,50 % a.a"
NUIF11,Indefinido,"92,85","186.026,35",N/A,"1,1","1,18 %","1,18 %","5,41 %","13,86 %","0,39 %","0,90 %","1,16 %","1,18 %","4,65 %","5,89 %","5,89 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.433,11",0,N/A,N/A,N/A
NVHO11,Hospitalar,"12,01","6.533,79","0,73","0,09","0,79 %","2,21 %","4,49 %","9,00 %","0,74 %","0,75 %","0,75 %","1,51 %","-8,79 %","-8,07 %","-12,89 %","687.206.259,08","16,56","0,73","0,54 %","18,71 %","19,35 %","39,65 %",4,"5.953,70",1.704,N/A,N/A,N/A
NVIF11,Fundo de Desenvolvimento,"227,5",N/A,"0,64","1,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"119.746.430,23",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,7,N/A,N/A,N/A
NVIF11B,Fundo de Desenvolvimento,"227,5",N/A,"0,86","1,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"88.829.544,94","263,28","0,86","0,42 %","-15,74 %","-15,38 %","5,40 %",2,N/A,7,N/A,N/A,N/A
NVRP11,Indefinido,170,"13.600,00",N/A,"87,5","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"23.552,53",0,N/A,N/A,N/A
OBAL11,Imóveis Residenciais,"1.095,00","1.095,00","0,66","93,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"233.781.563,11",N/A,N/A,N/A,N/A,N/A,N/A,6,"4.243,17",108,N/A,N/A,N/A
OCRE11,Papéis,81,"23.419,79","0,52","0,34","0,40 %","1,48 %","2,70 %","7,61 %","0,49 %","0,45 %","0,63 %","2,06 %","2,44 %","2,85 %","0,29 %","67.146.551,93",N/A,N/A,N/A,N/A,N/A,N/A,1,"8.822,67",449,N/A,N/A,N/A
OGHY11,Indefinido,"8,72","22.847,10","0,14","9,4","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,99 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,"57,14",8.102,N/A,N/A,N/A
OGIN11,Misto,"7,78","87.688,45",N/A,"0,1","1,26 %","0,00 %","0,00 %","5,17 %","0,00 %","0,00 %","0,43 %","7,41 %","5,05 %","6,37 %","-2,80 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.484,14",0,N/A,N/A,N/A
OIAG11,Indefinido,"9,16","125.453,05","0,93","0,12","1,31 %","3,87 %","8,18 %","17,50 %","1,29 %","1,36 %","1,46 %","5,25 %","-2,76 %","-1,48 %","16,40 %","88.496.727,00","9,8","0,93","1,22 %","0,00 %","0,00 %","0,00 %",0,"1.538,02",13.404,N/A,"20,00 % a.a","1,10 % a.a"
ONDA11,Exploração de Imóveis,"8,95","12.146,60","0,79","0,11","1,22 %","3,71 %","5,75 %","9,74 %","1,24 %","0,96 %","0,81 %","3,71 %","2,61 %","3,86 %","4,33 %","95.319.243,03",N/A,N/A,N/A,N/A,N/A,N/A,0,"3.907,39",423,"0,30 % a.a","20,00 % a.a","0,15 % a.a"
ONDV11,Exploração de Imóveis,"9,77","5.317,50","0,79","0,11","1,22 %","3,71 %","5,75 %","9,74 %","1,24 %","0,96 %","0,81 %","3,71 %","2,61 %","3,86 %","4,33 %","95.319.243,03",N/A,N/A,N/A,N/A,N/A,N/A,14,"4.190,49",423,"0,30 % a.a","20,00 % a.a","0,15 % a.a"
ONEF11,Lajes Corporativas,"200,03","114.431,47","3,13","2,85","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","182,79","1,09","17,78 %","-9,26 %","6,88 %","30,26 %",14,"9,4",8.102,N/A,N/A,N/A
OPTM11,Misto,N/A,N/A,N/A,"0,14","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"5.130.557,06",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,14,N/A,N/A,N/A
ORPD11,Fundo de Desenvolvimento,93,"402,75","0,66","1,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"40.793.022,02","124,68","0,75","1,11 %","0,95 %","2,06 %","2,06 %",14,"24,8",6,N/A,N/A,N/A
OUFF11,Fundo de Fundos,"61,1","264.340,11","0,96","0,76","1,25 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,10 %","-1,44 %","-0,20 %","-4,01 %","118.155.565,38","78,55","0,78","0,96 %","3,49 %","4,49 %","11,00 %",1,"0,13",8.102,N/A,"30,00 % a.a","0,35 % a.a"
OUJP11,Papéis,"88,08","277.716,20","0,88","1,06","1,19 %","3,79 %","8,14 %","17,06 %","1,26 %","1,36 %","1,42 %","2,48 %","12,23 %","13,56 %","19,69 %","327.860.485,69","101,23","0,87","1,05 %","1,34 %","2,40 %","17,68 %",14,"1.401,37",26.269,N/A,"20,00 % a.a","1,05 % a.a"
